Date,Startup_Name,Industry_Vertical,SubVertical,City_Location,Investors_Name,Investment_Type,Amount_USD,Remarks,Year,amount_category,investor_count
2018-11-23,Signzy,FinTech,Digital Onboarding Solution,Mumbai,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,3400000.0,No Remark,2018,Medium,4
2018-11-24,Engineer.ai,Technology,AI Platform,Unknown,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,29500000.0,No Remark,2018,High,2
2018-11-25,InCred Finance,FinTech,SME Lending,Unknown,"Paragon Partners, Individual Investors",Private Equity,42000000.0,No Remark,2018,High,2
2018-11-25,Roposo,Technology,Video Sharing,New Delhi,Bertelsmann India Investments,Series B,1700000.0,No Remark,2018,Medium,1
2018-10-01,Northmist,Technology,Mens Wear,New Delhi,Prashant Jaiswal,Seed Funding,1529113.0,No Remark,2018,Medium,1
2018-10-02,Origo Commodities India Pvt. Ltd,Technology,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed Funding,11000000.0,No Remark,2018,High,2
2018-10-04,Grover Zampa,FoodTech,Wine,Mumbai,Ravi Viswanathan,Private Equity,8200000.0,No Remark,2018,Medium,1
2018-10-05,Droom,Technology,New and Used Cars Platform,Gurgaon,ZigExN,Series E,3000000.0,No Remark,2018,Medium,1
2018-10-11,Innov8,Real Estate,Co-Working,New Delhi,Credence Family Office,Pre-Series A,4000000.0,No Remark,2018,Medium,1
2018-10-12,Blackbuck,Logistics,Largest Trucking Platform,Bangalore,Sequoia Capital India,Private Equity,14680000.0,No Remark,2018,High,1
2018-08-22,Pi Ventures,Technology,Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform,Bangalore,CDC Group plc\\xc2\\xa0,Private Equity,6000000.0,No Remark,2018,Medium,1
2018-08-22,Revv,Consumer Internet,Online Indian Car Rental Platform,Gurgaon,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private Equity,14270000.0,No Remark,2018,High,4
2018-08-26,ZestMoney,Consumer Internet,Online Lending Platform,Bangalore,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Private Equity,13400000.0,No Remark,2018,High,3
2018-08-26,Shubh Loans,Technology,\\xc2\\xa0Customer Sourcing Platform\\xc2\\xa0,Bangalore,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private Equity,4200000.0,No Remark,2018,Medium,4
